ID,im_nwords_min,im_nwords_max,im_nwords_mean,im_len_min,im_len_max,im_len_mean,total,base_lft,base_gender,base_opl,base_regio,base_polar,base_intpol,MVH_att_cc_1,MVH_att_cc_2,MVH_att_importance_2,att_cc_mean,opl_3cat,search query_1,search query_2,search query_3,total_valid,total_specific,edu_low,edu_mid,edu_high,base_gender2
214,2,2,2.0,13,15,14.0,klimaat crisis opwarming aarde milieu crisis,46,1,7,8,4.0,7.0,6,5,4,5.5,3,klimaat crisis,opwarming aarde,milieu crisis,3.0,3.0,0,0,1,1
215,1,2,1.3333333333333333,12,19,16.333333333333332,klimaatverandering co2 uitstoot temperatuurstijging,62,2,6,7,5.0,6.0,6,6,4,6.0,3,klimaatverandering,co2 uitstoot,temperatuurstijging,3.0,2.0,0,0,1,0
216,4,5,4.333333333333333,17,49,29.333333333333332,hoe denken wetenschappers over klimaatverandering opwarming van de aarde koelt de aarde af,29,2,5,10,4.0,6.0,6,6,4,6.0,2,hoe denken wetenschappers over klimaatverandering,opwarming van de aarde,koelt de aarde af,3.0,3.0,0,1,0,0
217,2,4,3.0,14,28,22.0,smelten ijskap invloed verwarming aarde effect stikstof in atmosfeer,43,2,7,10,3.0,3.0,7,6,4,6.5,3,smelten ijskap,invloed verwarming aarde,effect stikstof in atmosfeer,3.0,3.0,0,0,1,0
218,3,4,3.3333333333333335,22,33,28.0,temperaturen nederland historisch plannen aanpak klimaat plannen aanpak klimaat europa,31,2,7,12,9.0,6.0,7,6,5,6.5,3,temperaturen nederland historisch,plannen aanpak klimaat,plannen aanpak klimaat europa,3.0,3.0,0,0,1,0
219,1,3,2.0,14,30,19.666666666666668,opwarming aarde opwarming wetenschap concensus broeikasgassen,50,1,5,3,4.0,7.0,6,5,4,5.5,2,opwarming aarde,opwarming wetenschap concensus,broeikasgassen,3.0,3.0,0,1,0,1
220,1,1,1.0,7,15,10.0,klimaat probleem luchtvervuiling,59,1,4,6,6.0,7.0,5,5,4,5.0,2,klimaat,probleem,luchtvervuiling,3.0,2.0,0,1,0,1
221,1,1,1.0,7,11,8.666666666666666,samenleving klimaat politiek,52,1,2,9,7.0,3.0,3,4,3,3.5,1,samenleving,klimaat,politiek,3.0,2.0,1,0,0,1
222,1,2,1.3333333333333333,16,18,17.0,klimaatdiscussie opwarming klimaat klimaatmaatregelen,41,2,7,12,5.0,0.0,7,5,4,6.0,3,klimaatdiscussie,opwarming klimaat,klimaatmaatregelen,3.0,3.0,0,0,1,0
223,1,1,1.0,17,20,18.0,klimaatbeheersing klimaatvervuiling waterspiegelstijging,53,1,5,3,3.0,6.0,5,3,4,4.0,2,klimaatbeheersing,klimaatvervuiling,waterspiegelstijging,3.0,3.0,0,1,0,1
224,1,4,2.6666666666666665,7,32,19.0,klimaat verdrag van parijs temperatuurstijging in de wereld,61,1,4,9,6.0,6.0,6,5,4,5.5,2,klimaat,verdrag van parijs,temperatuurstijging in de wereld,3.0,2.0,0,1,0,1
225,1,1,1.0,14,18,15.333333333333334,klimaatverandering klimaatakkoord broeikaseffect,31,2,5,9,2.0,7.0,5,5,4,5.0,2,klimaatverandering,klimaatakkoord,broeikaseffect,3.0,2.0,0,1,0,0
226,1,2,1.6666666666666667,3,21,11.666666666666666,klimaat top klimaat veranderingen wnf,27,2,6,3,5.0,6.0,5,5,4,5.0,3,klimaat top,klimaat veranderingen,wnf,3.0,2.0,0,0,1,0
227,1,3,1.6666666666666667,3,19,13.333333333333334,politiek en klimaat klimaatverandering wwf,51,2,2,2,7.0,6.0,3,4,3,3.5,1,politiek en klimaat,klimaatverandering,wwf,3.0,2.0,1,0,0,0
228,1,4,3.0,18,22,19.666666666666668,klimaatverandering opwarming van de aarde omslag van het weer,56,2,2,9,5.0,7.0,4,6,5,5.0,1,klimaatverandering,opwarming van de aarde,omslag van het weer,3.0,2.0,1,0,0,0
229,1,5,3.0,14,27,22.333333333333332,climate changes in the past httpswwwipccch controversial notices ipcc,67,1,6,9,9.0,10.0,3,2,4,2.5,3,climate changes in the past,httpswwwipccch,controversial notices ipcc,3.0,3.0,0,0,1,1
230,1,2,1.6666666666666667,9,24,15.0,hittegolf smeltend ijs temperatuur ontwikkeling,62,2,4,4,3.0,4.0,3,2,3,2.5,2,hittegolf,smeltend ijs,temperatuur ontwikkeling,3.0,3.0,0,1,0,0
231,1,2,1.3333333333333333,10,18,13.333333333333334,klimaatverandering co2 uitstoot bioenergie,54,1,5,8,1.0,10.0,6,6,4,6.0,2,klimaatverandering,co2 uitstoot,bioenergie,3.0,2.0,0,1,0,1
233,1,2,1.6666666666666667,12,16,14.0,klimaatakkoord co2 uitstoot duurzame energie,35,2,6,12,4.0,6.0,6,4,4,5.0,3,klimaatakkoord,co2 uitstoot,duurzame energie,3.0,3.0,0,0,1,0
234,1,2,1.3333333333333333,3,18,8.0,pvv fvd opstappen regering,62,1,2,9,5.0,7.0,1,1,1,1.0,1,pvv,fvd,opstappen regering,3.0,3.0,1,0,0,1
235,1,2,1.3333333333333333,13,18,15.333333333333334,klimaatverandering opwarming aarde klimaataanpak,31,2,7,10,7.0,5.0,5,3,5,4.0,3,klimaatverandering,opwarming aarde,klimaataanpak,3.0,2.0,0,0,1,0
236,1,6,3.0,7,28,18.0,klimaat maatregelen klimaat wat te doen voor het klimaat,58,1,4,12,2.0,6.0,6,2,5,4.0,2,klimaat,maatregelen klimaat,wat te doen voor het klimaat,3.0,2.0,0,1,0,1
237,2,3,2.6666666666666665,19,29,25.0,klimaat maatregelen stappenplan klimaat akkoord klimaat maatregelen nederland,46,1,4,7,5.0,3.0,1,2,1,1.5,2,klimaat maatregelen,stappenplan klimaat akkoord,klimaat maatregelen nederland,3.0,3.0,0,1,0,1
238,1,2,1.6666666666666667,14,16,15.0,duurzame energie opwarming aarde broeikaseffect,28,1,6,9,7.0,3.0,6,5,4,5.5,3,duurzame energie,opwarming aarde,broeikaseffect,3.0,3.0,0,0,1,1
